Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
593,Mass Effect,Role-Playing,M,X360,Microsoft Game Studios,BioWare Edmonton,9.2,2.91,1.83,0.79,0.03,0.27,2007.0
598,World Soccer Winning Eleven 7 International,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,9.2,2.9,0.08,1.24,1.13,0.45,2004.0
600,Cooking Mama: Cook Off,Simulation,E,Wii,Majesco,Office Create,5.9,2.89,1.41,1.12,0.05,0.3,2007.0
603,Syphon Filter,Shooter,T,PS,989 Studios,Eidetic,9.2,2.88,2.03,0.72,0.02,0.11,1999.0
605,Mafia III,Action-Adventure,M,PS4,2K Games,Hangar 13,6.9,2.87,0.72,1.67,0.04,0.44,2016.0
607,Colin McRae Rally,Racing,E,PS,Sony Computer Entertainment,Codemasters,7.9,2.87,0.09,2.43,0.12,0.22,2000.0
611,The Elder Scrolls III: Morrowind,Role-Playing,T,XB,Bethesda Softworks,Bethesda Softworks,8.2,2.86,2.09,0.63,0.03,0.11,2002.0
613,Assassin's Creed: Brotherhood,Action,M,PS3,Ubisoft,Ubisoft Montreal,9.1,2.85,1.87,0.57,0.11,0.3,2010.0
622,BioShock,Shooter,M,X360,2K Games,2K Australia / 2K Boston,9.6,2.83,1.65,0.85,0.05,0.28,2007.0
625,Finding Nemo,Platform,E,GBA,THQ,Vicarious Visions,7.0,2.82,1.59,1.05,0.04,0.14,2003.0
626,Medal of Honor,Shooter,M,PS3,Electronic Arts,EA Los Angeles,7.0,2.82,1.28,1.04,0.07,0.43,2010.0
629,Gran Turismo (PSP),Racing,E,PSN,Sony Computer Entertainment,Polyphony Digital,7.8,2.82,0.43,0.91,0.31,1.16,2009.0
630,Need for Speed: Hot Pursuit,Racing,E10,PS3,Electronic Arts,Criterion Games,8.9,2.81,1.05,1.24,0.03,0.49,2010.0
632,Killzone 3,Shooter,M,PS3,Sony Computer Entertainment,Guerrilla Games,8.2,2.81,1.46,0.87,0.09,0.38,2011.0
644,Ratchet & Clank: Going Commando,Platform,T,PS2,Sony Computer Entertainment,Insomniac Games,8.7,2.78,1.44,0.83,0.26,0.25,2003.0
647,Saints Row: The Third,Action,M,X360,THQ,Volition Inc.,8.3,2.77,1.26,1.14,0.07,0.3,2011.0
654,L.A. Noire,Adventure,M,X360,Rockstar Games,Team Bondi,9.1,2.73,1.55,0.92,0.02,0.24,2011.0
656,Far Cry: Primal,Action-Adventure,M,PS4,Ubisoft,Ubisoft Montreal,7.2,2.73,0.63,1.61,0.07,0.41,2016.0
657,"Pokemon: Let's Go, Eevee!",Role-Playing,E,NS,Nintendo,Game Freak,8.3,2.73,1.22,0.8,0.51,0.2,2018.0
659,Need for Speed (2015),Racing,T,PS4,Electronic Arts,Ghost Games,7.0,2.72,0.59,1.66,0.06,0.41,2015.0
668,Call of Duty 3,Shooter,T,X360,Activision,Treyarch,8.0,2.7,1.49,0.92,0.02,0.27,2006.0
669,LEGO Star Wars II: The Original Trilogy,Action,E10,PS2,LucasArts,Traveller's Tales,8.4,2.69,1.85,0.64,0.01,0.19,2006.0
674,Halo Wars,Strategy,T,X360,Microsoft Game Studios,Ensemble Studios,8.1,2.67,1.58,0.8,0.04,0.25,2009.0
675,Call of Duty 2: Big Red One,Shooter,T,PS2,Activision,Treyarch,8.5,2.67,1.48,0.92,0.01,0.26,2005.0
680,Medal of Honor Heroes,Shooter,T,PSP,Electronic Arts,Team Fusion,6.7,2.66,0.86,1.11,0.01,0.67,2006.0
682,Need for Speed: Shift,Racing,E,PS3,Electronic Arts,Slightly Mad Studios,8.2,2.65,0.69,1.4,0.04,0.52,2009.0
686,Medal of Honor,Shooter,M,X360,Electronic Arts,EA Los Angeles,7.3,2.64,1.58,0.8,0.04,0.22,2010.0
687,NBA 2K12,Sports,E,X360,2K Sports,Visual Concepts,9.1,2.64,2.32,0.14,0.01,0.17,2011.0
689,NBA 2K13,Sports,E,PS3,2K Sports,Visual Concepts,8.9,2.63,1.74,0.46,0.05,0.39,2012.0
693,FIFA Soccer 10,Sports,E,X360,EA Sports,EA Canada,8.9,2.62,0.6,1.79,0.01,0.23,2009.0
694,LittleBigPlanet,Platform,E,PSP,Sony Computer Entertainment,SCEE Cambridge,8.8,2.61,0.65,1.27,0.01,0.68,2009.0
700,Grand Theft Auto: Episodes from Liberty City,Adventure,M,X360,Rockstar Games,Rockstar North,9.0,2.6,1.08,1.22,0.03,0.27,2009.0
702,Mario + Rabbids: Kingdom Battle,Strategy,E10,NS,Ubisoft,Ubisoft Milan,8.3,2.59,1.1,1.08,0.22,0.2,2017.0
704,FIFA Soccer 09,Sports,E,PS3,Electronic Arts,EA Canada,8.6,2.59,0.49,1.63,0.04,0.43,2008.0
709,WWE SmackDown vs. RAW 2007,Fighting,T,PS2,THQ,Yuke's,8.0,2.58,1.4,0.88,0.03,0.26,2006.0
711,Ratchet & Clank: Up Your Arsenal,Platform,T,PS2,Sony Computer Entertainment,Insomniac Games,9.1,2.57,1.31,0.74,0.31,0.22,2004.0
715,Ratchet & Clank Future: Tools of Destruction,Platform,E10,PS3,Sony Computer Entertainment,Insomniac Games,8.9,2.57,0.93,1.1,0.08,0.45,2007.0
717,Dragon Age: Origins,Role-Playing,M,X360,Electronic Arts,BioWare Edmonton,8.5,2.56,1.76,0.55,0.03,0.22,2009.0
718,FIFA 16,Sports,E,PS3,EA Sports,EA Canada,9.0,2.55,0.43,1.68,0.05,0.38,2015.0
723,Crazy Taxi,Racing,T,PS2,Acclaim Entertainment,Hitmaker,8.2,2.52,1.13,1.12,0.06,0.22,2001.0
725,Tomb Raider (2013),Action,M,PS3,Square Enix,Crystal Dynamics,8.9,2.51,0.6,1.45,0.08,0.38,2013.0
726,Midnight Club: Los Angeles,Racing,T,PS3,Rockstar Games,Rockstar San Diego,8.3,2.5,1.59,0.54,0.05,0.33,2008.0
746,Saints Row: The Third,Action,M,PS3,THQ,Volition Inc.,8.3,2.48,0.86,1.06,0.18,0.37,2011.0
749,Pure,Racing,E,X360,Disney Interactive Studios,Black Rock Studio,8.3,2.47,1.38,0.84,0.0,0.25,2008.0
753,Resistance 2,Shooter,M,PS3,Sony Computer Entertainment,Insomniac Games,8.5,2.47,1.15,0.84,0.1,0.38,2008.0
768,Sonic Adventure,Platform,E,DC,Sega,Sonic Team,8.9,2.42,1.26,0.61,0.46,0.08,1999.0
769,Tom Clancy's Rainbow Six: Vegas 2,Shooter,M,X360,Ubisoft,Ubisoft Montreal,8.2,2.42,1.56,0.61,0.02,0.23,2008.0
771,Kinect: Disneyland Adventures,Action-Adventure,E10,X360,Microsoft Studios,Frontier Developments,8.5,2.41,1.73,0.43,0.02,0.23,2011.0
772,Pro Evolution Soccer 2011,Sports,E,PS3,Konami,Konami,6.0,2.41,0.29,1.18,0.54,0.41,2010.0
776,Halo: Combat Evolved Anniversary,Shooter,M,X360,Microsoft Studios,343 Industries,8.0,2.41,1.44,0.71,0.04,0.22,2011.0
780,Midnight Club: Los Angeles,Racing,T,X360,Rockstar Games,Rockstar San Diego,8.0,2.4,1.72,0.45,0.01,0.22,2008.0
794,Guitar Hero,Misc,T,PS2,RedOctane,Harmonix Music Systems,8.0,2.38,1.67,0.61,0.03,0.07,2005.0
800,The Incredibles,Action,T,PS2,THQ,Heavy Iron Studios,5.9,2.37,0.96,1.08,0.04,0.3,2004.0
818,Kinect Sports: Season Two,Sports,E10,X360,Microsoft Studios,Rare Ltd.,6.6,2.33,1.38,0.72,0.02,0.21,2011.0
825,Grand Theft Auto,Action,M,PS,Take-Two Interactive,DMA Design,6.0,2.32,0.79,1.35,0.04,0.14,1998.0
830,The Sims 3,Simulation,T,X360,Electronic Arts,The Sims Studio,8.0,2.31,1.28,0.82,0.0,0.2,2010.0
839,Dead Island,Action,M,PS3,Deep Silver,Techland,6.7,2.29,1.08,0.74,0.15,0.32,2011.0
842,Pro Evolution Soccer 2010,Sports,E,PS3,Konami,Konami,7.0,2.28,0.3,1.27,0.46,0.26,2009.0
855,No Man's Sky,Action-Adventure,T,PS4,Hello Games,Hello Games,6.8,2.26,0.89,0.97,0.04,0.37,2016.0
858,Guitar Hero III: Legends of Rock,Misc,T,PS3,RedOctane,Neversoft,8.2,2.25,1.4,0.53,0.02,0.3,2007.0
879,Need for Speed: Hot Pursuit,Racing,E10,X360,Electronic Arts,Criterion Games,8.8,2.2,1.03,0.96,0.0,0.21,2010.0
886,BioShock 2,Shooter,M,X360,2K Games,2K Marin,8.6,2.2,1.45,0.54,0.02,0.2,2010.0
888,Final Fantasy XIII,Role-Playing,T,X360,Square Enix,Square Enix,8.1,2.19,1.3,0.67,0.01,0.21,2010.0
895,Pro Evolution Soccer 2012,Sports,E,PS3,Konami,Konami,7.5,2.19,0.34,0.97,0.55,0.32,2011.0
896,Saints Row,Action,M,X360,THQ,Volition Inc.,8.0,2.18,1.17,0.77,0.02,0.22,2006.0
897,Need for Speed: Payback,Racing,T,PS4,Electronic Arts,Ghost Games,5.8,2.18,0.62,1.18,0.04,0.34,2017.0
905,Scribblenauts,Puzzle,E10,DS,Warner Bros. Interactive,5TH Cell,8.2,2.17,1.67,0.3,0.02,0.18,2009.0
927,NBA 2K12,Sports,E,PS3,2K Sports,Visual Concepts,9.0,2.13,1.62,0.27,0.05,0.18,2011.0
930,Project Gotham Racing,Racing,E,XB,Microsoft,Bizarre Creations,8.4,2.12,1.37,0.61,0.05,0.09,2001.0
932,NBA 2K11,Sports,E,X360,2K Sports,Visual Concepts,8.8,2.11,1.86,0.12,0.01,0.13,2010.0
934,PES 2009: Pro Evolution Soccer,Sports,E,PS3,Konami,Konami,7.7,2.11,0.11,1.34,0.4,0.26,2008.0
935,Need for Speed: Hot Pursuit 2,Racing,E,PS2,Electronic Arts,EA Seattle,8.7,2.11,1.68,0.31,0.02,0.09,2002.0
943,Need for Speed: Most Wanted 5-1-0,Racing,E10,PSP,Electronic Arts,EA Black Box,7.4,2.09,1.77,0.13,0.02,0.17,2005.0
949,Grand Theft Auto: Episodes from Liberty City,Adventure,M,PS3,Rockstar Games,Rockstar North,9.0,2.09,0.62,0.99,0.13,0.34,2010.0
954,Portal 2,Shooter,E10,X360,Valve,Valve Software,9.6,2.08,1.41,0.49,0.01,0.17,2011.0
959,Metal Gear Solid: Peace Walker,Action,T,PSP,Konami,Kojima Productions,8.6,2.08,0.46,0.42,0.96,0.25,2010.0
964,UFC 2009 Undisputed,Fighting,T,X360,THQ,Yuke's Osaka,8.4,2.07,1.48,0.39,0.0,0.19,2009.0
968,The Incredibles,Action,E,GBA,THQ,Helixe,5.4,2.06,1.15,0.77,0.04,0.1,2004.0
969,Call of Duty 2,Shooter,T,X360,Activision,Infinity Ward,8.8,2.06,1.84,0.04,0.01,0.16,2005.0
972,R4: Ridge Racer Type 4,Racing,E,PS,Namco,Namco,9.1,2.06,0.68,0.46,0.79,0.13,1999.0
973,Tom Clancy's Splinter Cell: Conviction,Action,M,X360,Ubisoft,Ubisoft Montreal,8.6,2.06,1.2,0.62,0.04,0.19,2010.0
974,Need for Speed: Undercover,Racing,T,PS3,Electronic Arts,EA Vancouver,5.9,2.06,0.63,1.01,0.05,0.38,2008.0
975,Need for Speed: ProStreet,Racing,E10,X360,Electronic Arts,EA Black Box,7.1,2.05,1.04,0.79,0.01,0.21,2007.0
980,Dark Souls,Role-Playing,M,PS3,Namco Bandai,From Software,9.0,2.05,0.75,0.53,0.54,0.22,2011.0
983,Need for Speed: ProStreet,Racing,E10,PS3,Electronic Arts,EA Black Box,7.2,2.04,0.73,0.91,0.04,0.36,2007.0
988,PGR4 - Project Gotham Racing 4,Racing,E,X360,Microsoft Game Studios,Bizarre Creations,8.6,2.04,0.48,1.28,0.02,0.25,2007.0
989,Dance Central 2,Music,T,X360,Microsoft,Harmonix Music Systems,8.6,2.04,1.45,0.41,0.01,0.16,2011.0
990,Dragon Quest XI: Echoes of an Elusive Age,Role-Playing,T,PS4,Square Enix,Square Enix,10.0,2.04,0.29,0.22,1.43,0.1,2018.0
998,The Sims 3,Simulation,T,PS3,Electronic Arts,The Sims Studio,8.1,2.03,0.73,0.96,0.02,0.31,2010.0
1004,Need for Speed: The Run,Racing,T,PS3,Electronic Arts,EA Black Box,6.3,2.01,0.58,1.05,0.03,0.35,2011.0
1023,Tenchu: Stealth Assassins,Action,M,PS,Activision,Acquire,8.8,1.99,0.95,0.64,0.27,0.13,1998.0
1025,Harry Potter and the Chamber of Secrets,Adventure,E,GBA,Electronic Arts,Eurocom Entertainment Software,7.2,1.99,1.21,0.64,0.05,0.09,2002.0
1026,Just Cause 3,Action-Adventure,M,PS4,Square Enix,Avalanche Studios,7.5,1.98,0.53,1.07,0.09,0.3,2015.0
1037,Hot Shots Golf: Open Tee,Sports,E10,PSP,Sony Computer Entertainment,Clap Hanz,8.4,1.96,0.5,0.5,0.63,0.33,2005.0
1042,Tom Clancy's Rainbow Six: Vegas,Shooter,T,X360,Ubisoft,Ubisoft Montreal,8.8,1.95,1.09,0.65,0.02,0.2,2006.0
1048,Burnout Paradise,Racing,E10,PS3,Electronic Arts,Criterion Games,9.0,1.95,1.01,0.63,0.02,0.28,2008.0
1057,FIFA Soccer 09,Sports,E,X360,Electronic Arts,EA Canada,8.7,1.94,0.49,1.26,0.01,0.18,2008.0
1064,The Legend of Zelda: Oracle of Ages,Adventure,E,GBC,Nintendo,Flagship,9.4,1.92,0.92,0.53,0.41,0.06,2001.0
1069,PaRappa The Rapper,Misc,E,PS,Sony Computer Entertainment,NanaOn-Sha,9.2,1.92,0.26,0.16,1.46,0.03,1997.0
1071,Need for Speed: Shift,Racing,E,X360,Electronic Arts,Slightly Mad Studios,8.2,1.91,0.73,0.96,0.01,0.22,2009.0
1078,Star Wars Rogue Leader: Rogue Squadron II,Simulation,T,GC,LucasArts,Factor 5,9.2,1.9,1.03,0.75,0.03,0.09,2001.0
1079,Tomb Raider (2013),Action,M,X360,Square Enix,Crystal Dynamics,8.5,1.9,0.86,0.87,0.01,0.16,2013.0
1089,Minecraft,Sandbox,E10,NS,Mojang,4J Studios,9.2,1.89,0.69,0.56,0.52,0.12,2018.0
1090,Ratchet & Clank Future: A Crack in Time,Platform,E10,PS3,Sony Computer Entertainment,Insomniac Games,8.7,1.89,1.05,0.55,0.03,0.26,2009.0
1091,Madden NFL 09,Sports,E,PS3,EA Sports,EA Tiburon,8.6,1.89,1.56,0.15,0.0,0.18,2008.0
1103,FIFA 2000,Sports,E,PS,EA Sports,EA Canada,8.8,1.87,0.22,1.47,0.04,0.14,1999.0
1104,inFAMOUS 2,Action,T,PS3,Sony Computer Entertainment,Sucker Punch Productions,8.1,1.87,1.05,0.48,0.08,0.26,2011.0
1105,Star Wars: The Force Unleashed,Action,T,Wii,LucasArts,Krome Studios,6.8,1.86,1.11,0.56,0.0,0.19,2008.0
1106,The Legend of Zelda: Oracle of Seasons,Adventure,E,GBC,Nintendo,Flagship,9.3,1.86,0.87,0.52,0.41,0.06,2001.0
1109,Shrek 2,Platform,E,PS2,Activision,"Luxoflux, Inc.",6.9,1.86,1.12,0.69,0.03,0.02,2004.0
1111,The Legend of Dragoon,Role-Playing,T,PS,Sony Computer Entertainment,SCEI,7.8,1.86,0.94,0.44,0.39,0.1,2000.0
1112,Turok 2: Seeds of Evil,Shooter,M,N64,Acclaim Entertainment,Iguana Entertainment,9.0,1.86,1.37,0.41,0.04,0.04,1998.0
1113,The Evil Within,Action,M,PS4,Bethesda Softworks,Tango Gameworks,7.7,1.86,0.56,0.9,0.11,0.28,2014.0
1123,Forza Horizon 4,Racing,E,XOne,Microsoft Studios,Playground Games,9.2,1.84,0.74,0.95,0.01,0.15,2018.0
1132,Air Combat,Simulation,E,PS,Namco,Namco,7.0,1.83,0.92,0.33,0.52,0.05,1995.0
1134,Demon's Souls,Role-Playing,M,PS3,Atlus,From Software,9.1,1.83,0.97,0.34,0.35,0.17,2009.0
1140,BioShock Infinite,Shooter,M,PS3,2K Games,Irrational Games,9.5,1.82,0.74,0.74,0.04,0.3,2013.0
1143,The Orange Box,Shooter,M,X360,Electronic Arts,Valve Software,9.7,1.82,1.09,0.53,0.02,0.17,2007.0
1145,Crazy Taxi,Racing,T,DC,Sega,Hitmaker,9.3,1.81,1.1,0.51,0.12,0.08,2000.0
1150,Madden NFL 07,Sports,E,X360,EA Sports,EA Tiburon,8.2,1.8,1.66,0.0,0.01,0.13,2006.0
1172,UFC 2009 Undisputed,Fighting,T,PS3,THQ,Yuke's Osaka,8.4,1.76,1.07,0.45,0.01,0.24,2009.0
1190,Just Cause 2,Action,M,PS3,Square Enix,Avalanche Studios,8.3,1.75,0.45,0.92,0.06,0.32,2010.0
1198,FIFA Soccer 08,Sports,E,PS3,EA Sports,EA Canada,8.5,1.75,0.35,1.07,0.02,0.31,2007.0
1199,Crackdown,Shooter,M,X360,Microsoft Game Studios,Realtime Worlds,8.4,1.75,1.0,0.53,0.03,0.18,2007.0
1204,Xenosaga Episode I: Der Wille zur Macht,Role-Playing,T,PS2,Namco,Monolith Soft,8.7,1.74,0.63,0.49,0.45,0.17,2003.0
1224,Titanfall 2,Shooter,M,PS4,Electronic Arts,Respawn Entertainment,8.9,1.72,0.75,0.62,0.06,0.28,2016.0
1237,Portal 2,Shooter,E10,PS3,Valve,Valve Software,9.6,1.71,0.83,0.62,0.02,0.24,2011.0
1263,Need for Speed: Undercover,Racing,T,X360,Electronic Arts,EA Vancouver,6.3,1.69,0.8,0.7,0.01,0.18,2008.0
1267,Harry Potter and the Sorcerer's Stone,Action,E,GBA,Electronic Arts,Griptonite Games,6.6,1.69,0.87,0.66,0.08,0.08,2001.0
1271,Far Cry 4,Shooter,M,XOne,Ubisoft,Ubisoft Montreal,8.5,1.68,0.85,0.68,0.02,0.14,2014.0
1272,Saints Row 2,Action,M,PS3,THQ,Volition Inc.,7.9,1.68,0.88,0.54,0.02,0.24,2008.0
1276,Time Crisis,Shooter,T,PS,Namco,Namco,8.5,1.68,0.38,0.87,0.33,0.1,1997.0
1282,We Ski,Sports,E,Wii,Namco Bandai,Bandai Namco Games,7.1,1.68,0.97,0.41,0.14,0.15,2008.0
1286,Dragon Age: Origins,Role-Playing,M,PS3,Electronic Arts,BioWare Edmonton,8.7,1.67,0.96,0.42,0.08,0.21,2009.0
1291,PGR: Project Gotham Racing 2,Racing,E,XB,Microsoft Game Studios,Bizarre Creations,8.9,1.67,0.97,0.59,0.04,0.07,2003.0
1310,Heavenly Sword,Action,T,PS3,Sony Computer Entertainment,Ninja Theory,8.0,1.65,0.57,0.73,0.06,0.29,2007.0
1311,MySims,Simulation,E,Wii,Electronic Arts,EA Redwood Shores,7.1,1.65,0.9,0.54,0.04,0.17,2007.0
1312,Need for Speed Carbon,Racing,E10,X360,Electronic Arts,EA Black Box,7.9,1.65,0.76,0.69,0.02,0.18,2006.0
1316,Army of Two,Shooter,M,X360,Electronic Arts,EA Montreal,6.7,1.64,1.09,0.37,0.02,0.16,2008.0
1329,Ape Escape,Platform,E,PS,Sony Computer Entertainment,SCE Japan Studio,9.3,1.63,0.71,0.48,0.32,0.11,1999.0
1331,Kinectimals,Simulation,E,X360,Microsoft Game Studios,Frontier Studio,7.5,1.62,1.02,0.46,0.0,0.14,2010.0
1332,Uncharted: Golden Abyss,Action,T,PSV,Sony Computer Entertainment,SCEA Bend Studio / Naughty Dog,7.9,1.62,0.53,0.71,0.13,0.25,2012.0
1335,The Order: 1886,Shooter,M,PS4,Sony Computer Entertainment,Ready at Dawn,6.2,1.62,0.44,0.86,0.07,0.25,2015.0
1347,Rage,Shooter,M,X360,Bethesda Softworks,id Software,7.9,1.6,0.82,0.6,0.03,0.15,2011.0
1366,Just Cause 2,Action,M,X360,Square Enix,Avalanche Studios,8.0,1.6,0.59,0.83,0.02,0.17,2010.0
1367,Silent Hill,Adventure,M,PS,Konami,KCET,8.9,1.6,0.71,0.48,0.3,0.1,1999.0
1370,Sonic Generations,Platform,E,PS3,Sega,Sonic Team,7.3,1.59,0.6,0.72,0.02,0.25,2011.0
1372,Far Cry 2,Shooter,M,X360,Ubisoft,Ubisoft Montreal,8.5,1.59,0.72,0.69,0.02,0.18,2008.0
1373,Soul Blade,Fighting,T,PS,Namco,Namco,8.6,1.59,0.61,0.41,0.46,0.1,1997.0
1376,Pro Evolution Soccer 2008,Sports,E,PS3,Konami,Konami,7.1,1.59,0.04,1.1,0.32,0.13,2008.0
1382,Devil May Cry 4,Action,M,PS3,Capcom,Capcom,8.2,1.58,0.58,0.45,0.34,0.2,2008.0
1386,Pro Evolution Soccer 2010,Sports,E,PS2,Konami,Konami,7.2,1.57,0.1,0.18,0.12,1.16,2009.0
1406,BioShock 2,Shooter,M,PS3,2K Games,2K Marin,8.5,1.55,0.85,0.46,0.02,0.22,2010.0
1409,007: The World is Not Enough,Shooter,T,N64,Electronic Arts,Eurocom Entertainment Software,7.4,1.55,1.13,0.38,0.02,0.03,2000.0
1416,Go Vacation,Misc,E10,Wii,Namco Bandai,Namco Bandai Games,7.0,1.54,0.42,0.66,0.33,0.13,2011.0
1419,Dark Cloud,Role-Playing,T,PS2,Sony Computer Entertainment,Level 5,8.2,1.54,0.83,0.44,0.08,0.19,2001.0
